"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Detroit","MI","1600000US2622000","Colorado Springs, CO","Beaumont, TX","Carrollton, TX","Denton, TX","Rochester (NY), NY","San Juan, PR","Hartford, CT","Syracuse, NY","Burbank, CA","Boise City, ID","Gainesville, FL","Clarksville, TN","Toledo, OH","Hialeah, FL","Jackson, MS"
"Downey","CA","1600000US0619766","Oxnard, CA","Anchorage, AK","Norwalk, CA","Garden Grove, CA","Dallas, TX","Billings, MT","Yonkers, NY","Fullerton, CA","Burlington, VT","Honolulu, HI","Cincinnati, OH","Fontana, CA","Corona, CA","West Covina, CA","Austin, TX"
"Durham","NC","1600000US3719000","Costa Mesa, CA","Boston, MA","Newport News, VA","Birmingham, AL","Murfreesboro, TN","Springfield (IL), IL","Lincoln, NE","Hampton, VA","Carlsbad, CA","Everett, WA","Port St. Lucie, FL","Mesquite, TX","Vancouver, WA","Denver, CO","Omaha, NE"
"El Monte","CA","1600000US0622230","Inglewood, CA","Providence, RI","Newark, NJ","Brownsville, TX","Elizabeth, NJ","Philadelphia, PA","Miami, FL","Baton Rouge, LA","New Haven, CT","Amarillo, TX","Hialeah, FL","Paterson, NJ","Milwaukee, WI","Wilmington (DE), DE","Miami Gardens, FL"
"El Paso","TX","1600000US4824000","Indianapolis, IN","Tulsa, OK","Orlando, FL","Tampa, FL","Fort Wayne, IN","Greensboro, NC","Spokane, WA","Green Bay, WI","Topeka, KS","Wilmington (NC), NC","High Point, NC","McAllen, TX","Eugene, OR","Provo, UT","Lubbock, TX"
"Elgin","IL","1600000US1723074","Sterling Heights, MI","Joliet, IL","Kent, WA","Santa Rosa, CA","Chicago, IL","Pembroke Pines, FL","Henderson, NV","Surprise, AZ","Oceanside, CA","Austin, TX","Vallejo, CA","Lakewood, CO","Baltimore, MD","Riverside, CA","Honolulu, HI"
"Elizabeth","NJ","1600000US3421000","Brownsville, TX","Inglewood, CA","Baton Rouge, LA","El Paso, TX","Providence, RI","Lowell, MA","Wilmington (DE), DE","Pomona, CA","Philadelphia, PA","New Haven, CT","Salinas, CA","Pittsburgh, PA","Amarillo, TX","Modesto, CA","Santa Ana, CA"
"Elk Grove","CA","1600000US0622020","Temecula, CA","Stamford, CT","Rancho Cucamonga, CA","Orange, CA","McKinney, TX","Olathe, KS","Roseville, CA","Santa Clarita, CA","Plano, TX","Murrieta, CA","Corpus Christi, TX","Torrance, CA","Ann Arbor, MI","Huntington Beach, CA","Charleston (SC), SC"
"Escondido","CA","1600000US0622804","Fort Lauderdale, FL","Vancouver, WA","Garland, TX","Tacoma, WA","Visalia, CA","West Valley City, UT","Irving, TX","Tempe, AZ","Omaha, NE","Mesquite, TX","Sacramento, CA","Lincoln, NE","Everett, WA","Las Vegas, NV","Boston, MA"
"Eugene","OR","1600000US4123850","Warren, MI","Spokane, WA","Cleveland, OH","Norfolk, VA","Tampa, FL","McAllen, TX","Cambridge, MA","Fort Wayne, IN","Green Bay, WI","Richmond (VA), VA","Orlando, FL","Stockton, CA","Provo, UT","Wilmington (NC), NC","Waterbury, CT"
"Evansville","IN","1600000US1822000","Lansing, MI","South Bend, IN","Albuquerque, NM","Pueblo, CO","San Bernardino, CA","Knoxville, TN","Tucson, AZ","Savannah, GA","Toledo, OH","Springfield (MO), MO","Memphis, TN","Clarksville, TN","Rockford, IL","New Orleans, LA","Shreveport, LA"
"Everett","WA","1600000US5322640","Mesquite, TX","Hampton, VA","Lincoln, NE","Newport News, VA","Boston, MA","Vancouver, WA","El Monte, CA","Birmingham, AL","Omaha, NE","Pasadena (TX), TX","Mesa, AZ","Springfield (IL), IL","Killeen, TX","Murfreesboro, TN","Tempe, AZ"
"Fairfield","CA","1600000US0623182","Westminster, CO","Thornton, CO","West Jordan, UT","Cedar Rapids, IA","Coral Springs, FL","Hayward, CA","Virginia Beach, VA","Atlanta, GA","Midland, TX","Miramar, FL","Rochester (MN), MN","Arlington, TX","San Buenaventura, CA","Corona, CA","Peoria (AZ), AZ"
"Fargo","ND","1600000US3825700","Lafayette, LA","Detroit, MI","Peoria (IL), IL","West Palm Beach, FL","Reno, NV","Victorville, CA","Little Rock, AR","Wichita, KS","Portland (ME), ME","Lancaster, CA","Salt Lake City, UT","Columbia (SC), SC","Clearwater, FL","Killeen, TX","Dayton, OH"
"Fayetteville","NC","1600000US3722920","Independence, MO","Palm Bay, FL","Montgomery, AL","Akron, OH","Wichita Falls, TX","Lubbock, TX","Columbia (SC), SC","Columbus (OH), OH","Fort Wayne, IN","High Point, NC","Green Bay, WI","Topeka, KS","Tulsa, OK","Orlando, FL","Wilmington (NC), NC"
"Fontana","CA","1600000US0624680","Cincinnati, OH","Miramar, FL","Corona, CA","Austin, TX","Arlington, TX","San Buenaventura, CA","Hayward, CA","Burlington, VT","Fullerton, CA","Thornton, CO","Westminster, CO","Honolulu, HI","Pembroke Pines, FL","Coral Springs, FL","Santa Rosa, CA"
"Fort Collins","CO","1600000US0827425","Madison, WI","Grand Prairie, TX","Raleigh, NC","Manchester, NH","Richmond (CA), CA","Lakewood, CO","Baltimore, MD","Vallejo, CA","Ontario, CA","Columbia (MO), MO","Moreno Valley, CA","Antioch, CA","Riverside, CA","Centennial, CO","Chicago, IL"
