"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Lexington-Fayette","KY","1600000US2146027","Wichita, KS","Corpus Christi, TX","Aurora (CO), CO","Bakersfield, CA","Fort Wayne, IN"
"Lincoln","NE","1600000US3128000","Arlington, TX","St. Petersburg, FL","Cincinnati, OH","Toledo, OH","Chandler, AZ"
"Little Rock","AR","1600000US0541000","Grand Prairie, TX","Huntsville, AL","Des Moines, IA","Amarillo, TX","Salt Lake City, UT"
"Long Beach","CA","1600000US0643000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Los Angeles","CA","1600000US0644000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA"
"Lowell","MA","1600000US2537000","Hartford, CT","New Haven, CT","Bridgeport, CT","Syracuse, NY","Allentown, PA"
"Lubbock","TX","1600000US4845000","Shreveport, LA","Amarillo, TX","Grand Prairie, TX","Springfield (MO), MO","Knoxville, TN"
"Madison","WI","1600000US5548000","Newport News, VA","Irving, TX","Fort Collins, CO","Pasadena (TX), TX","Boise City, ID"
"Manchester","NH","1600000US3345140","Portland (ME), ME","Hampton, VA","Waterbury, CT","Sterling Heights, MI","Mesquite, TX"
"McAllen","TX","1600000US4845384","Evansville, IN","Provo, UT","Lansing, MI","Waterbury, CT","Burlington, VT"
"McKinney","TX","1600000US4845744","Overland Park, KS","Grand Prairie, TX","Little Rock, AR","Scottsdale, AZ","Chesapeake, VA"
"Memphis","TN","1600000US4748000","Tucson, AZ","Kansas City (MO), MO","Oklahoma City, OK","Colorado Springs, CO","Virginia Beach, VA"
"Mesa","AZ","1600000US0446000","Albuquerque, NM","Omaha, NE","Atlanta, GA","Raleigh, NC","El Paso, TX"
"Mesquite","TX","1600000US4847892","Lakewood, CO","West Valley City, UT","Hampton, VA","Visalia, CA","Vallejo, CA"
"Miami","FL","1600000US1245000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Miami Gardens","FL","1600000US1245060","Wilmington (DE), DE","Allentown, PA","Bridgeport, CT","New Haven, CT","Hartford, CT"
"Midland","TX","1600000US4848072","Killeen, TX","Denton, TX","Norman, OK","Rochester (MN), MN","Joliet, IL"
"Milwaukee","WI","1600000US5553000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Minneapolis","MN","1600000US2743000","St. Paul, MN","Buffalo, NY","Pittsburgh, PA","Anaheim, CA","San Juan, PR"
"Miramar","FL","1600000US1245975","Coral Springs, FL","San Buenaventura, CA","Concord, CA","Kent, WA","Hollywood, FL"
"Mobile","AL","1600000US0150000","Montgomery, AL","Jackson, MS","Birmingham, AL","Springfield (MO), MO","Sioux Falls, SD"
"Modesto","CA","1600000US0648354","Salinas, CA","Glendale (CA), CA","Pomona, CA","Garden Grove, CA","Oxnard, CA"
"Montgomery","AL","1600000US0151000","Columbus (GA), GA","Birmingham, AL","Mobile, AL","Springfield (MO), MO","Salt Lake City, UT"
"Moreno Valley","CA","1600000US0649270","Oceanside, CA","Glendale (AZ), AZ","Tempe, AZ","Tacoma, WA","Garland, TX"
"Murfreesboro","TN","1600000US4751560","Clarksville, TN","Charleston (WV), WV","Springfield (IL), IL","Lafayette, LA","Cheyenne, WY"
"Murrieta","CA","1600000US0650076","Antioch, CA","Fairfield, CA","Temecula, CA","West Jordan, UT","Carrollton, TX"
"Naperville","IL","1600000US1751622","Elgin, IL","Sterling Heights, MI","Lansing, MI","Centennial, CO","Carlsbad, CA"
"New Haven","CT","1600000US0952000","Bridgeport, CT","Hartford, CT","Allentown, PA","Wilmington (DE), DE","Syracuse, NY"
"New Orleans","LA","1600000US2255000","Orlando, FL","Tulsa, OK","Greensboro, NC","Fort Wayne, IN","Corpus Christi, TX"
