"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Lakewood","CO","1600000US0843000","West Valley City, UT","Arvada, CO","Provo, UT","Thornton, CO","West Jordan, UT"
"Lancaster","CA","1600000US0640130","Palmdale, CA","Ontario, CA","San Bernardino, CA","Santa Clarita, CA","Corona, CA"
"Lansing","MI","1600000US2646000","Charleston (WV), WV","Davenport, IA","Dayton, OH","Green Bay, WI","Joliet, IL"
"Laredo","TX","1600000US4841464","Brownsville, TX","Grand Prairie, TX","Lubbock, TX","McKinney, TX","Shreveport, LA"
"Las Vegas","NV","1600000US3240000","Anaheim, CA","Bakersfield, CA","Henderson, NV","Riverside, CA","Santa Ana, CA"
"Lexington-Fayette","KY","1600000US2146027","Fort Wayne, IN","Greensboro, NC","Cincinnati, OH","Toledo, OH","Cleveland, OH"
"Lincoln","NE","1600000US3128000","Aurora (CO), CO","Tulsa, OK","Wichita, KS","St. Louis, MO","Minneapolis, MN"
"Little Rock","AR","1600000US0541000","Grand Prairie, TX","Huntsville, AL","Birmingham, AL","Jackson, MS","Overland Park, KS"
"Long Beach","CA","1600000US0643000","Anaheim, CA","Riverside, CA","Santa Ana, CA","Corona, CA","Fontana, CA"
"Los Angeles","CA","1600000US0644000","Long Beach, CA","Anaheim, CA","Santa Ana, CA","Corona, CA","Fontana, CA"
"Lowell","MA","1600000US2537000","Allentown, PA","Bridgeport, CT","Hartford, CT","New Haven, CT","Syracuse, NY"
"Lubbock","TX","1600000US4845000","Amarillo, TX","Grand Prairie, TX","McKinney, TX","Irving, TX","Laredo, TX"
"Madison","WI","1600000US5548000","Aurora (IL), IL","Des Moines, IA","Grand Rapids, MI","Rockford, IL","Ann Arbor, MI"
"Manchester","NH","1600000US3345140","Burlington, VT","Portland (ME), ME","Stamford, CT","Waterbury, CT","Alexandria, VA"
"McAllen","TX","1600000US4845384","Abilene, TX","Beaumont, TX","Denton, TX","Frisco, TX","Killeen, TX"
"McKinney","TX","1600000US4845744","Amarillo, TX","Grand Prairie, TX","Little Rock, AR","Lubbock, TX","Shreveport, LA"
"Memphis","TN","1600000US4748000","Atlanta, GA","Kansas City (MO), MO","Indianapolis, IN","Lexington-Fayette, KY","New Orleans, LA"
"Mesa","AZ","1600000US0446000","Albuquerque, NM","El Paso, TX","Las Vegas, NV","Tucson, AZ","Chandler, AZ"
"Mesquite","TX","1600000US4847892","Abilene, TX","Beaumont, TX","Denton, TX","Frisco, TX","Killeen, TX"
"Miami","FL","1600000US1245000","Atlanta, GA","Charlotte, NC","Jacksonville, FL","New Orleans, LA","Orlando, FL"
"Miami Gardens","FL","1600000US1245060","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"Midland","TX","1600000US4848072","Denton, TX","Killeen, TX","Norman, OK","Abilene, TX","Pueblo, CO"
